date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:01	58689/58689	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:02%20GMT	https://www.columbiawestcollege.edu/	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/index.html	(from )
00:51:01	84/84	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Jun%202025%2004:51:01%20GMT	https://www.columbiawestcollege.edu/robots.txt		(from )
00:51:01	246890/246890	---MCZ	200	added ('OK')	text/css	etag:W/%223066813333ac0bc59daf0721edefa33b%22	https://cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/css/cwc-website.webflow.shared.306681333.css	C:/My%20Web%20Sites/dlb-project/cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/css/cwc-website.webflow.shared.306681333.css	(from https://www.columbiawestcollege.edu/)
00:51:01	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/dlb-project/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.columbiawestcollege.edu/)
00:51:01	1760/1760	---M--	200	added ('OK')	image/png	etag:%22a0b62721cc07d7e84cb3d2663a9a88d9%22	https://cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/647e7e61162c5306c74816f1_cropped-logo-footer-32x32.png	C:/My%20Web%20Sites/dlb-project/cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/647e7e61162c5306c74816f1_cropped-logo-footer-32x32.png	(from https://www.columbiawestcollege.edu/)
00:51:02	82975/82975	---M--	200	added ('OK')	image/png	etag:%225c1ebc61ac8162c1d46fe9ef2f94fce5%22	https://cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/647e7ef67f317f025a9aff03_cwc.png	C:/My%20Web%20Sites/dlb-project/cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/647e7ef67f317f025a9aff03_cwc.png	(from https://www.columbiawestcollege.edu/)
00:51:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2001%20Jun%202025%2004:51:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/dlb-project/www.googletagmanager.com/gtm.45445.delayed	(from https://www.columbiawestcollege.edu/)
00:51:03	59455/59455	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:04%20GMT	https://www.columbiawestcollege.edu/zh-TW	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/zh-TW.html	(from https://www.columbiawestcollege.edu/)
00:51:03	58894/58894	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:04%20GMT	https://www.columbiawestcollege.edu/cn	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/cn.html	(from https://www.columbiawestcollege.edu/)
00:51:04	71955/71955	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:05%20GMT	https://www.columbiawestcollege.edu/th	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/th.html	(from https://www.columbiawestcollege.edu/)
00:51:05	60705/60705	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:05%20GMT	https://www.columbiawestcollege.edu/es	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/es.html	(from https://www.columbiawestcollege.edu/)
00:51:05	61030/61030	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:06%20GMT	https://www.columbiawestcollege.edu/ko	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/ko.html	(from https://www.columbiawestcollege.edu/)
00:51:06	67455/67455	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:07%20GMT	https://www.columbiawestcollege.edu/ru	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/ru.html	(from https://www.columbiawestcollege.edu/)
00:51:06	60283/60283	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:07%20GMT	https://www.columbiawestcollege.edu/pt	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/pt.html	(from https://www.columbiawestcollege.edu/)
00:51:07	61184/61184	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:08%20GMT	https://www.columbiawestcollege.edu/ja	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/ja.html	(from https://www.columbiawestcollege.edu/)
00:51:07	42552/42552	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:08%20GMT	https://www.columbiawestcollege.edu/apply	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/apply.html	(from https://www.columbiawestcollege.edu/)
00:51:08	33829/33829	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:09%20GMT	https://www.columbiawestcollege.edu/payment	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/payment.html	(from https://www.columbiawestcollege.edu/)
00:51:08	34458/34458	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:09%20GMT	https://www.columbiawestcollege.edu/agent-registration-application	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/agent-registration-application.html	(from https://www.columbiawestcollege.edu/)
00:51:09	8406/8406	---M--	200	added ('OK')	image/png	etag:%22ecbf11cb9f83090235c97d7bb0f029cd%22	https://cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/645aeb70b2f0b55bf65b634a_logocwc.png	C:/My%20Web%20Sites/dlb-project/cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/645aeb70b2f0b55bf65b634a_logocwc.png	(from https://www.columbiawestcollege.edu/)
00:51:09	94068/94068	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:10%20GMT	https://www.columbiawestcollege.edu/programs/english-speaking-success	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/programs/english-speaking-success.html	(from https://www.columbiawestcollege.edu/)
00:51:10	48890/48890	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:11%20GMT	https://www.columbiawestcollege.edu/programs/american-communication	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/programs/american-communication.html	(from https://www.columbiawestcollege.edu/)
00:51:10	48742/48742	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:11%20GMT	https://www.columbiawestcollege.edu/programs/empowering-english	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/programs/empowering-english.html	(from https://www.columbiawestcollege.edu/)
00:51:11	47466/47466	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:12%20GMT	https://www.columbiawestcollege.edu/programs/2-day-program	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/programs/2-day-program.html	(from https://www.columbiawestcollege.edu/)
00:51:11	48920/48920	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:13%20GMT	https://www.columbiawestcollege.edu/programs/english-through-american-culture	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/programs/english-through-american-culture.html	(from https://www.columbiawestcollege.edu/)
00:51:12	47609/47609	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:13%20GMT	https://www.columbiawestcollege.edu/programs/vacation-english	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/programs/vacation-english.html	(from https://www.columbiawestcollege.edu/)
00:51:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2004:51:14%20GMT	https://www.columbiawestcollege.edu/apply-old	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/apply-old.17.delayed	(from https://www.columbiawestcollege.edu/)
00:51:13	40616/40616	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:14%20GMT	https://www.columbiawestcollege.edu/expert-visa-help-student-support-subpage	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/expert-visa-help-student-support-subpage.html	(from https://www.columbiawestcollege.edu/)
00:51:14	40049/40049	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:15%20GMT	https://www.columbiawestcollege.edu/la-subpage	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/la-subpage.html	(from https://www.columbiawestcollege.edu/)
00:51:15	50638/50638	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:16%20GMT	https://www.columbiawestcollege.edu/accommodations	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/accommodations.html	(from https://www.columbiawestcollege.edu/)
00:51:15	51627/51627	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:16%20GMT	https://www.columbiawestcollege.edu/students/gallery	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/students/gallery.html	(from https://www.columbiawestcollege.edu/)
00:51:16	56598/56598	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:17%20GMT	https://www.columbiawestcollege.edu/students/faqs	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/students/faqs.html	(from https://www.columbiawestcollege.edu/)
00:51:16	29118/29118	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:17%20GMT	https://www.columbiawestcollege.edu/about	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/about.html	(from https://www.columbiawestcollege.edu/)
00:51:17	44276/44276	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:18%20GMT	https://www.columbiawestcollege.edu/our-teachers	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/our-teachers.html	(from https://www.columbiawestcollege.edu/)
00:51:17	34893/34893	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:19%20GMT	https://www.columbiawestcollege.edu/mission-values	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/mission-values.html	(from https://www.columbiawestcollege.edu/)
00:51:18	37009/37009	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:19%20GMT	https://www.columbiawestcollege.edu/blog	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/blog.html	(from https://www.columbiawestcollege.edu/)
00:51:19	42597/42597	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jun%202025%2004:51:20%20GMT	https://www.columbiawestcollege.edu/contact-us	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/contact-us.html	(from https://www.columbiawestcollege.edu/)
00:51:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2004:51:21%20GMT	https://www.columbiawestcollege.edu/old-home	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/old-home.22.delayed	(from https://www.columbiawestcollege.edu/)
00:51:20	0/-1	---M--	301	error ('')			https://www.columbiawestcollege.edu/apply-old	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/apply-old.23.delayed	(from https://www.columbiawestcollege.edu/)
00:51:20	21393/21393	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Jun%202025%2004:51:21%20GMT	https://www.columbiawestcollege.edu/%22https://cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea%2F67c7deddf335a66e2b14e861_top-hero_image_video-poster-00001.jpg%22	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/_https_/cdn.prod.website-files.com/645ae3d5b2f0b56f0f5ae1ea/67c7deddf335a66e2b14e861_top-hero_image_video-poster-00001.24.delayed	(from https://www.columbiawestcollege.edu/)
00:51:21	41714/41714	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273daad4953f9609a9f505ced27eb4b8f%22	https://static.elfsight.com/platform/platform.js	C:/My%20Web%20Sites/dlb-project/static.elfsight.com/platform/platform.js	(from https://www.columbiawestcollege.edu/)
00:51:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2004:51:23%20GMT	https://www.columbiawestcollege.edu/accommodations-old	C:/My%20Web%20Sites/dlb-project/www.columbiawestcollege.edu/accommodations-old.26.delayed	(from https://www.columbiawestcollege.edu/)
